 ,,
5,293,162,231,159,217,136,228,160,219,159,286,178,3300,,
10,370,211,262,227,268,233,277,211,27446,283,369,282,31339,,
15,165,91,86,97,101,86,71,52,73,62,86,69,1305,,
20,444,377,378,359,345,358,348,325,353,324,416,382,5248,,
25,137,95,115,94,143,85,85,70,88,78,103,96,1426,,
30,475,396,416,419,394,756,443,399,428,417,474,420,6348,,
35,588,530,492,593,515,569,488,500,28362,662,560,565,35337,,
40,631,571,565,705,556,623,573,551,546,535,601,622,7994,,
45,205,183,143,192,122,140,119,129,123,127,160,142,1979,,
50,664,687,599,755,634,756,623,658,22090,753,745,788,30689,,

